id,full_name,age,gender,device_type,ad_position,Product_Category,color_name,hex_code,r,g,b,Mood,Season,Time_Spent_sec,click
9736,User9736,46.0,,Desktop,,Food,Mystic Maroon,#AD4379,173,67,121,Calm,Monsoon,52,1
2244,User2244,42.0,,Mobile,Top,Tech,Apple green,#8DB600,141,182,0,Sad,Spring,111,0
4952,User4952,41.0,Female,,,Fashion,Cerulean frost,#6D9BC3,109,155,195,Calm,Spring,268,0
4855,User4855,,Non-Binary,Desktop,Top,Tech,Space cadet,#1D2951,29,41,81,Sad,Winter,257,0
9590,User9590,,Non-Binary,Tablet,,Fashion,Ruddy brown,#BB6528,187,101,40,Angry,Winter,31,0
813,User813,,,Tablet,Top,Sports,Rubine red,#D10056,209,0,86,Calm,Summer,13,1
4957,User4957,58.0,Male,,Bottom,Fashion,Jasmine,#F8DE7E,248,222,126,Sad,Winter,224,1
9431,User9431,,,Mobile,Top,Fashion,Straw,#E4D96F,228,217,111,Angry,Summer,162,1
6935,User6935,,Male,Mobile,,Home_Decor,Maximum Yellow,#FAFA37,250,250,55,Neutral,Summer,18,0
2431,User2431,54.0,Male,Desktop,Top,Fashion,Electric lavender,#F4BBFF,244,187,255,Angry,Summer,33,1
3164,User3164,,Female,Desktop,,Home_Decor,Medium violet-red,#C71585,199,21,133,Angry,Monsoon,30,1
4756,User4756,,Non-Binary,Mobile,Bottom,Fashion,Cadet,#536872,83,104,114,Neutral,Autumn,218,1
1524,User1524,24.0,,Mobile,Bottom,Home_Decor,Cerise,#DE3163,222,49,99,Angry,Autumn,147,1
7674,User7674,,,,Bottom,Sports,Rifle green,#444C38,68,76,56,Neutral,Spring,119,1
6251,User6251,44.0,Non-Binary,,Side,Sports,Cyan-blue azure,#4682BF,70,130,191,Neutral,Summer,222,1
6751,User6751,,Female,Tablet,,Fashion,Orange (RYB),#FB9902,251,153,2,Neutral,Monsoon,85,0
9996,User9996,48.0,,Desktop,Top,Food,Yellow Sunshine,#FFF700,255,247,0,Sad,Winter,205,0
2973,User2973,27.0,Non-Binary,,Bottom,Sports,French sky blue,#77B5FE,119,181,254,Calm,Winter,71,1
6315,User6315,,,Desktop,Top,Tech,Wine dregs,#673147,103,49,71,Sad,Spring,253,1
7065,User7065,57.0,,Desktop,,Tech,Royal blue,#4169E1,65,105,225,Neutral,Spring,148,1
9412,User9412,,,,Bottom,Home_Decor,Dark imperial blue,#00147E,0,20,126,Calm,Summer,145,1
3458,User3458,,,Tablet,,Food,Medium ruby,#AA4069,170,64,105,Calm,Summer,100,0
6121,User6121,,,Desktop,Top,Home_Decor,Debian red,#D70A53,215,10,83,Neutral,Winter,122,0
487,User487,28.0,,Mobile,Side,Fashion,Peach,#FFE5B4,255,229,180,Calm,Winter,189,1
3266,User3266,,Male,Tablet,Top,Sports,Shocking pink (Crayola),#FF6FFF,255,111,255,Calm,Winter,296,1
5574,User5574,52.0,Female,,Bottom,Food,Ocean Blue,#4F42B5,79,66,181,Sad,Winter,249,1
6553,User6553,,,Desktop,Bottom,Home_Decor,Cherry,#DE3163,222,49,99,Calm,Autumn,205,1
8996,User8996,22.0,Female,Desktop,,Home_Decor,Moonstone blue,#73A9C2,115,169,194,Neutral,Summer,282,0
503,User503,43.0,,Desktop,,Tech,Carnation pink,#FFA6C9,255,166,201,Happy,Summer,114,1
4581,User4581,51.0,,,Top,Fashion,Dirt,#9B7653,155,118,83,Happy,Winter,216,0
3266,User3266,,Male,Tablet,Top,Home_Decor,Gray (X11 gray),#BEBEBE,190,190,190,Happy,Monsoon,263,1
8956,User8956,,Male,Tablet,,Tech,Seal brown,#59260B,50,20,20,Neutral,Winter,168,1
9990,User9990,,Male,Desktop,Side,Food,Turquoise Surf,#00C5CD,0,197,205,Happy,Spring,101,1
7426,User7426,,,Mobile,Side,Home_Decor,Almond,#EFDECD,239,222,205,Sad,Monsoon,214,0
6100,User6100,,,Desktop,,Tech,Bangladesh green,#006A4E,0,106,78,Neutral,Spring,40,1
3543,User3543,,,,Top,Fashion,Heart Gold,#808000,128,128,0,Neutral,Monsoon,270,1
7866,User7866,,,Mobile,Top,Sports,Teal blue,#367588,54,117,136,Neutral,Spring,104,1
7917,User7917,,Non-Binary,Tablet,Side,Food,Lilac,#C8A2C8,200,162,200,Calm,Winter,25,0
63,User63,,Female,Tablet,Top,Home_Decor,Skobeloff,#007474,0,116,116,Calm,Winter,221,0
5340,User5340,19.0,,Mobile,Side,Tech,Tiger's eye,#E08D3C,224,141,60,Calm,Monsoon,108,0
2907,User2907,,,Mobile,Side,Home_Decor,Lava,#CF1020,207,16,32,Angry,Spring,116,0
7545,User7545,25.0,Male,Tablet,,Sports,Ecru,#C2B280,194,178,128,Sad,Autumn,223,0
3746,User3746,,,,,Home_Decor,Fandango,#B53389,181,51,137,Neutral,Monsoon,124,1
6906,User6906,,,Mobile,Top,Home_Decor,Dark electric blue,#536878,83,104,120,Neutral,Monsoon,253,1
1665,User1665,19.0,,Mobile,Bottom,Tech,Dingy Dungeon,#C53151,197,49,81,Calm,Summer,100,0
1762,User1762,41.0,Male,Desktop,,Sports,Cinnamon Satin,#CD607E,205,96,126,Neutral,Monsoon,192,1
8201,User8201,59.0,Female,Desktop,Bottom,Food,Royal fuchsia,#CA2C92,202,44,146,Neutral,Autumn,148,0
4086,User4086,,Female,Desktop,Top,Tech,Arsenic,#3B444B,59,68,75,Happy,Winter,32,1
9896,User9896,45.0,Female,Desktop,Side,Sports,Sapphire,#0F52BA,15,82,186,Neutral,Spring,10,0
1503,User1503,19.0,,,Side,Sports,Bright Yellow (Crayola),#FFAA1D,255,170,29,Angry,Summer,266,1
571,User571,,Male,Tablet,Bottom,Home_Decor,Celestial blue,#4997D0,73,151,208,Calm,Spring,234,0
7591,User7591,,Male,Desktop,Top,Fashion,Navajo white,#FFDEAD,255,222,173,Sad,Winter,126,0
5531,User5531,34.0,Male,Desktop,Top,Fashion,Princess Perfume,#FF85CF,255,133,207,Sad,Monsoon,198,1
5419,User5419,,Male,Tablet,,Food,Scarlet,#FD0E35,253,14,53,Happy,Autumn,109,1
9921,User9921,,Female,Desktop,Side,Home_Decor,Shamrock green,#009E60,0,158,96,Sad,Summer,203,0
5338,User5338,51.0,Male,Mobile,,Fashion,Green (RYB),#66B032,102,176,50,Sad,Autumn,66,1
5821,User5821,31.0,Female,Desktop,,Tech,Electric yellow,#FFFF33,255,255,51,Calm,Autumn,288,0
4890,User4890,43.0,Male,,Bottom,Food,Old rose,#C08081,192,128,129,Calm,Autumn,84,1
9992,User9992,,Male,Desktop,Side,Home_Decor,Blue (NCS),#0087BD,0,135,189,Angry,Autumn,179,1
9153,User9153,61.0,Non-Binary,Tablet,Bottom,Tech,Mandarin,#F37A48,243,122,72,Happy,Winter,13,0
2096,User2096,48.0,Non-Binary,Desktop,Top,Fashion,Medium taupe,#674C47,103,76,71,Sad,Autumn,184,1
4777,User4777,,Female,Tablet,Side,Fashion,Raspberry pink,#E25098,226,80,152,Angry,Autumn,275,0
6683,User6683,,,Tablet,,Fashion,Licorice,#1A1110,26,17,16,Happy,Winter,166,1
6880,User6880,,Female,Mobile,Side,Fashion,Light slate gray,#778899,119,136,153,Sad,Spring,280,1
2021,User2021,41.0,,Mobile,,Sports,Russet,#80461B,128,70,27,Sad,Winter,210,1
5986,User5986,32.0,,Desktop,Side,Food,Vivid cerulean,#00AAEE,0,170,238,Calm,Monsoon,64,0
5484,User5484,64.0,Female,Mobile,Side,Food,Green (RYB),#66B032,102,176,50,Neutral,Winter,190,0
8948,User8948,25.0,,Mobile,Bottom,Fashion,Mountain Meadow,#30BA8F,48,186,143,Happy,Spring,79,1
3109,User3109,,,,Side,Food,Electric crimson,#FF003F,255,0,63,Sad,Monsoon,98,1
3042,User3042,,,,Side,Tech,Pastel orange,#FFB347,255,179,71,Happy,Monsoon,71,1
3225,User3225,23.0,,Tablet,,Tech,Ochre,#CC7722,204,119,34,Angry,Summer,6,1
3801,User3801,26.0,Non-Binary,Desktop,Side,Food,Eerie black,#1B1B1B,27,27,27,Angry,Autumn,182,1
1190,User1190,,Non-Binary,Tablet,Bottom,Fashion,CG Blue,#007AA5,0,122,165,Neutral,Monsoon,146,1
1077,User1077,,Non-Binary,Desktop,Top,Home_Decor,Saffron,#F4C430,244,196,48,Sad,Monsoon,48,1
3062,User3062,,Male,Desktop,Bottom,Fashion,Persian green,#00A693,0,166,147,Calm,Spring,178,1
6060,User6060,,,Desktop,Top,Sports,Paris Green,#50C878,80,200,120,Sad,Monsoon,299,0
4697,User4697,,,Mobile,Side,Home_Decor,Middle Purple,#D982B5,217,130,181,Happy,Spring,235,1
6849,User6849,39.0,,Mobile,,Sports,Wenge,#645452,100,84,82,Angry,Autumn,240,1
1908,User1908,26.0,,Mobile,,Food,Japanese indigo,#264348,38,67,72,Happy,Summer,97,1
5703,User5703,55.0,Female,Tablet,Side,Sports,Ruber,#CE4676,206,70,118,Neutral,Summer,48,0
4856,User4856,21.0,,Desktop,Top,Food,Blue,#0000FF,0,0,255,Angry,Autumn,31,0
1197,User1197,,Male,Mobile,Top,Sports,Golden poppy,#FCC200,252,194,0,Calm,Autumn,276,1
9307,User9307,,,,,Home_Decor,Cinnamon Satin,#CD607E,205,96,126,Angry,Winter,43,0
8683,User8683,26.0,,Desktop,Side,Sports,Midnight blue,#191970,25,25,112,Sad,Monsoon,293,0
820,User820,39.0,Non-Binary,Mobile,Side,Fashion,UFO Green,#3CD070,60,208,112,Sad,Monsoon,252,0
6315,User6315,,,Desktop,Top,Food,Imperial red,#ED2939,237,41,57,Angry,Monsoon,54,1
8010,User8010,24.0,,Desktop,Top,Tech,Screamin' Green,#66FF66,102,255,102,Neutral,Spring,287,0
2364,User2364,54.0,Female,,Side,Sports,Heliotrope gray,#AA98A9,170,152,168,Sad,Winter,213,0
4507,User4507,42.0,,,Bottom,Food,Tuscan brown,#6F4E37,111,78,55,Sad,Monsoon,128,0
1549,User1549,,,Desktop,Top,Tech,White,#FFFFFF,255,255,255,Calm,Spring,253,1
4630,User4630,19.0,Non-Binary,Tablet,Side,Food,Spanish gray,#989898,152,152,152,Angry,Spring,288,0
3577,User3577,58.0,,Desktop,Side,Food,Key Lime,#E8F48C,232,244,140,Sad,Summer,155,0
5845,User5845,,,Tablet,,Tech,Malachite,#0BDA51,11,218,81,Neutral,Spring,68,0
8253,User8253,57.0,Non-Binary,Desktop,Bottom,Tech,Irresistible,#B3446C,179,68,108,Happy,Autumn,245,1
5418,User5418,,Male,,Top,Home_Decor,Rosso corsa,#D40000,212,0,0,Angry,Spring,171,1
255,User255,31.0,,,,Sports,Light Thulian pink,#E68FAC,230,143,172,Calm,Autumn,244,1
4621,User4621,20.0,,Desktop,,Sports,Office green,#008000,0,128,0,Sad,Autumn,53,1
1704,User1704,61.0,Female,,,Food,Sapphire,#0F52BA,15,82,186,Neutral,Summer,191,1
118,User118,43.0,Female,Tablet,Bottom,Fashion,Vivid tangelo,#F07427,240,116,39,Angry,Summer,152,0
8957,User8957,,Female,Mobile,Top,Fashion,Carolina blue,#56A0D3,86,160,211,Neutral,Spring,193,1
3314,User3314,35.0,,Tablet,Top,Food,Vivid orange peel,#FFA000,255,160,0,Neutral,Summer,115,0
5995,User5995,,Male,,Top,Home_Decor,Light medium orchid,#D39BCB,211,155,203,Calm,Summer,269,0
3007,User3007,42.0,Male,Desktop,Top,Tech,Light gray,#D3D3D3,211,211,211,Angry,Monsoon,283,0
1325,User1325,,,,Side,Food,Red (Pantone),#ED2939,237,41,57,Sad,Spring,241,1
756,User756,,,,,Sports,Yale Blue,#0F4D92,15,77,146,Calm,Spring,163,0
5194,User5194,53.0,Male,Mobile,Top,Fashion,Medium candy apple red,#E2062C,226,6,44,Sad,Spring,64,1
4611,User4611,20.0,Female,Tablet,,Fashion,Lilac Luster,#AE98AA,174,152,170,Happy,Summer,79,0
2023,User2023,19.0,Non-Binary,Desktop,,Fashion,Dark raspberry,#872657,135,38,87,Neutral,Summer,232,1
2565,User2565,,Non-Binary,Desktop,Bottom,Home_Decor,Vivid orange peel,#FFA000,255,160,0,Happy,Autumn,158,0
2965,User2965,,Non-Binary,Tablet,Top,Sports,Vivid violet,#9F00FF,159,0,255,Neutral,Winter,291,0
8041,User8041,,,Mobile,Bottom,Home_Decor,Mandarin,#F37A48,243,122,72,Calm,Winter,245,1
6258,User6258,,,Tablet,Top,Tech,Lumber,#FFE4CD,255,228,205,Sad,Winter,231,1
3375,User3375,52.0,,Mobile,Bottom,Food,Vivid vermilion,#E56024,229,96,36,Sad,Monsoon,173,1
7805,User7805,36.0,Male,Mobile,,Food,Sunset,#FAD6A5,250,214,165,Calm,Summer,288,0
3062,User3062,34.0,Male,Desktop,Bottom,Fashion,Forest green (traditional),#014421,1,68,33,Angry,Autumn,266,1
6449,User6449,42.0,,Desktop,Top,Fashion,Japanese indigo,#264348,38,67,72,Happy,Autumn,294,1
9647,User9647,34.0,Non-Binary,Desktop,Side,Tech,Yellow-green,#9ACD32,154,205,50,Happy,Winter,13,0
5439,User5439,38.0,,Tablet,Side,Home_Decor,Sunset,#FAD6A5,250,214,165,Sad,Monsoon,102,1
9400,User9400,,Non-Binary,Mobile,Side,Sports,Queen pink,#E8CCD7,232,204,215,Sad,Monsoon,16,1
1914,User1914,42.0,,,Bottom,Tech,Space cadet,#1D2951,29,41,81,Sad,Winter,276,1
9732,User9732,27.0,Male,Desktop,,Food,Maximum Green Yellow,#D9E650,217,230,80,Calm,Winter,75,0
5642,User5642,57.0,,Tablet,Bottom,Food,Blueberry,#4F86F7,79,134,247,Angry,Summer,139,0
9689,User9689,,Male,Desktop,Bottom,Home_Decor,Acid green,#B0BF1A,176,191,26,Happy,Monsoon,263,1
7655,User7655,39.0,,,Bottom,Tech,Light sky blue,#87CEFA,135,206,250,Neutral,Autumn,9,0
5780,User5780,,,Mobile,Bottom,Sports,China pink,#DE6FA1,222,111,161,Calm,Winter,243,1
2976,User2976,,,,,Tech,Pale taupe,#BC987E,188,152,126,Happy,Summer,298,0
6262,User6262,,,,Bottom,Tech,Vivid orange peel,#FFA000,255,160,0,Angry,Autumn,103,0
3663,User3663,,,Mobile,,Home_Decor,Donkey brown,#664C28,102,76,40,Calm,Monsoon,155,0
8103,User8103,,Non-Binary,,Top,Sports,Teal deer,#99E6B3,153,230,179,Happy,Winter,262,0
2757,User2757,35.0,Female,Mobile,Bottom,Food,Shocking pink (Crayola),#FF6FFF,255,111,255,Calm,Winter,153,0
9136,User9136,,Non-Binary,Desktop,Side,Fashion,Medium violet-red,#C71585,199,21,133,Happy,Summer,146,1
6974,User6974,53.0,,Desktop,Side,Sports,Copper red,#CB6D51,203,109,81,Happy,Summer,255,0
1486,User1486,,,Desktop,Side,Food,Pale brown,#987654,152,118,84,Angry,Monsoon,238,0
606,User606,,,,Bottom,Home_Decor,Cerise pink,#EC3B83,236,59,131,Neutral,Winter,136,1
1612,User1612,40.0,,Mobile,Side,Sports,Urobilin,#E1AD21,225,173,33,Angry,Summer,51,1
6438,User6438,53.0,Non-Binary,Tablet,,Sports,Brandeis blue,#0070FF,0,112,255,Happy,Winter,98,1
3225,User3225,23.0,,,Bottom,Food,Electric indigo,#6F00FF,111,0,255,Calm,Monsoon,253,1
9842,User9842,43.0,Non-Binary,Mobile,,Food,Mountain Meadow,#30BA8F,48,186,143,Angry,Winter,24,1
8817,User8817,,Male,Tablet,Bottom,Tech,Dark gunmetal,#1F262A,31,38,42,Neutral,Autumn,184,1
1020,User1020,,,Mobile,Side,Tech,Dark blue-gray,#666699,102,102,153,Happy,Winter,276,1
1635,User1635,54.0,Female,,Top,Sports,Pear,#D1E231,209,226,49,Angry,Spring,140,1
3776,User3776,,,,Top,Fashion,Celadon blue,#007BA7,0,123,167,Angry,Spring,241,0
5412,User5412,35.0,,Mobile,Top,Home_Decor,Redwood,#A45A52,164,90,82,Angry,Monsoon,194,1
6989,User6989,28.0,Male,Mobile,,Food,Milk,#FDFFF5,253,255,245,Angry,Monsoon,216,1
8018,User8018,,,Desktop,Side,Tech,Brown (web),#A52A2A,165,42,42,Calm,Monsoon,68,1
2529,User2529,,Female,Desktop,,Home_Decor,Lemon glacier,#FDFF00,253,255,0,Neutral,Autumn,168,1
3285,User3285,,Male,Tablet,Side,Sports,Very light malachite green,#64E986,100,233,134,Neutral,Autumn,42,0
2156,User2156,46.0,Female,Tablet,Side,Food,Taupe gray,#8B8589,139,133,137,Happy,Winter,219,1
8530,User8530,52.0,Female,Mobile,Top,Food,Carmine red,#FF0038,255,0,56,Sad,Summer,23,1
9418,User9418,20.0,Male,,Side,Tech,Fuchsia purple,#CC397B,204,57,123,Calm,Spring,258,1
8190,User8190,26.0,,Mobile,Side,Fashion,Liver (dogs),#B86D29,184,109,41,Happy,Spring,78,1
1140,User1140,28.0,Male,,Side,Food,Moonstone blue,#73A9C2,115,169,194,Happy,Spring,145,0
3149,User3149,,Male,Desktop,Top,Fashion,Rackley,#5D8AA8,93,138,168,Angry,Winter,21,0
5629,User5629,,,Tablet,,Home_Decor,Electric lime,#CCFF00,204,255,0,Sad,Winter,99,1
9748,User9748,47.0,Non-Binary,Tablet,Bottom,Food,Brown Yellow,#cc9966,204,153,102,Sad,Monsoon,238,0
4086,User4086,,Female,Desktop,Top,Food,Tropical violet,#CDA4DE,205,164,222,Calm,Summer,92,1
9400,User9400,,Non-Binary,Mobile,Side,Fashion,Paris Green,#50C878,80,200,120,Sad,Monsoon,55,1
6449,User6449,,,Desktop,Top,Tech,Granny Smith Apple,#A8E4A0,168,228,160,Happy,Winter,249,1
9699,User9699,,Female,,,Sports,Powder blue,#B0E0E6,176,224,230,Sad,Autumn,117,0
2809,User2809,,Non-Binary,Desktop,Top,Home_Decor,Interdimensional Blue,#360CCC,54,12,204,Sad,Monsoon,12,0
4089,User4089,,Non-Binary,Tablet,,Food,Debian red,#D70A53,215,10,83,Neutral,Winter,41,0
2885,User2885,,Non-Binary,Desktop,Bottom,Tech,Pastel pink,#DEA5A4,222,165,164,Happy,Winter,51,0
1190,User1190,,Non-Binary,Tablet,Bottom,Food,Light sea green,#20B2AA,32,178,170,Sad,Autumn,104,1
8068,User8068,,Female,Mobile,Side,Home_Decor,Ghost white,#F8F8FF,248,248,255,Sad,Autumn,177,0
5082,User5082,44.0,Female,Mobile,Top,Sports,Bud green,#7BB661,123,182,97,Angry,Autumn,245,1
1345,User1345,34.0,,Desktop,Top,Food,Cream,#FFFDD0,255,253,208,Sad,Summer,195,0
4938,User4938,,Male,Desktop,Side,Fashion,Brown (web),#A52A2A,165,42,42,Sad,Winter,238,1
5623,User5623,53.0,,Desktop,Side,Tech,Deep coffee,#704241,112,66,65,Neutral,Autumn,285,1
5329,User5329,54.0,Male,Tablet,Side,Sports,Light deep pink,#FF5CCD,255,92,205,Happy,Summer,239,1
9990,User9990,25.0,Male,Desktop,Side,Food,Royal blue,#4169E1,65,105,225,Calm,Spring,130,1
3746,User3746,,Male,Desktop,Top,Sports,Peach-orange,#FFCC99,255,204,153,Happy,Spring,182,1
7993,User7993,,Non-Binary,Mobile,Bottom,Fashion,Acid green,#B0BF1A,176,191,26,Angry,Spring,177,1
5955,User5955,,,Tablet,,Food,Persian red,#CC3333,204,51,51,Happy,Winter,124,1
5100,User5100,42.0,,Mobile,Side,Sports,Cordovan,#893F45,137,63,69,Sad,Summer,34,1
6129,User6129,36.0,,Tablet,Bottom,Food,French puce,#4E1609,78,22,9,Angry,Summer,52,1
4625,User4625,33.0,Non-Binary,Mobile,Top,Food,Sea blue,#006994,0,105,148,Happy,Spring,183,0
8459,User8459,38.0,Non-Binary,Tablet,Bottom,Sports,Tuscan brown,#6F4E37,111,78,55,Angry,Monsoon,98,1
3215,User3215,33.0,Male,Mobile,Side,Food,Royal azure,#0038A8,0,56,168,Calm,Spring,59,0
4151,User4151,,,Desktop,,Fashion,Alabama crimson,#AF002A,175,0,42,Happy,Winter,240,0
8176,User8176,,Male,Desktop,Top,Sports,Vivid vermilion,#E56024,229,96,36,Sad,Spring,291,0
1908,User1908,26.0,Male,Mobile,Bottom,Sports,Star command blue,#007BB8,0,123,184,Angry,Spring,78,1
2142,User2142,34.0,Non-Binary,,,Fashion,Orange (RYB),#FB9902,251,153,2,Neutral,Summer,126,1
4212,User4212,,,,,Fashion,CG Red,#E03C31,224,60,49,Angry,Spring,61,0
9137,User9137,35.0,Female,Desktop,Side,Fashion,Teal green,#00827F,0,130,127,Neutral,Autumn,277,0
8085,User8085,35.0,Non-Binary,Mobile,,Food,Electric purple,#BF00FF,191,0,255,Sad,Autumn,143,0
933,User933,41.0,Female,Tablet,,Food,Buff,#F0DC82,240,220,130,Calm,Monsoon,203,0
4779,User4779,,,Tablet,Top,Home_Decor,Azure (web color),#F0FFFF,240,255,255,Neutral,Winter,213,0
4925,User4925,47.0,,Desktop,Side,Food,Tangerine yellow,#FFCC00,255,204,0,Calm,Winter,277,0
6167,User6167,20.0,Male,Mobile,Side,Fashion,Light gray,#D3D3D3,211,211,211,Angry,Summer,142,1
3818,User3818,27.0,,Desktop,Top,Home_Decor,KU Crimson,#E8000D,232,0,13,Sad,Winter,138,0
6919,User6919,45.0,Non-Binary,Desktop,Top,Fashion,Blue Bolt,#00B9FB,0,185,251,Neutral,Monsoon,20,0
7779,User7779,36.0,,Desktop,,Tech,Cordovan,#893F45,137,63,69,Angry,Autumn,107,0
